Pos,ID,Name,Endurance-Endurance Race Fastest Lap,Endurance-Endurance Race,Total
1,98121,Jeffrey Kruger,2,50,52
2,532447,Paul N T Williams,0,45,45
3,395972,Nigel Stock,0,40,40
4,435674,Aaron Hobson,0,35,35
5,214278,Mark Baker7,0,30,30
6,375113,Mark Sykes,0,25,25
7,888953,Wesley Lewin,0,20,20
8,435038,Jochen Siegert,0,15,15
9,562993,Kevin Smith21,0,13,13
10,492984,Ian Manners,0,0,0
11,842243,Danny Genovski,0,0,0
12,869824,Samy Ariba,0,0,0
13,568604,Ryan J Blackwell,0,0,0
14,792182,Neil Martin4,0,0,0
15,950943,Harley Bicknell,0,0,0
16,795214,James Smaggasgale,0,0,0
17,34483,Mike Riedner,0,0,0
18,548231,Mark Kent,0,0,0
19,648962,Paul Walsh2,0,0,0
20,725757,Baz Meacham,0,0,0
21,293575,Mathew Addy,0,0,0
22,1012459,Kyle Oosthuizen,0,0,0
